learning_rate,lmbd_l2,Pkeep,activity_train_accuracy,position_train_accuracy,activity_test_accuracy,position_test_accuracy
0.00033435228386416086,0.4644378274423728,0.48592123437113377,0.7267515659332275,0.7874734401702881,0.6544944047927856,0.7968164682388306
0.05918267139342438,0.0017069483920927318,0.39432669951561466,0.16656051576137543,0.25122079253196716,0.1666666716337204,0.25
0.00010200057607249896,0.0197099687021614,0.5705847493008529,0.9913482069969177,0.990180492401123,0.9400749206542969,0.9396067261695862
0.012755030599357937,0.28759939571903653,0.5808975499557203,0.6538747549057007,0.8100318312644958,0.7462546825408936,0.8183520436286926
0.0025645784023066763,0.2732201073786266,0.35638089744975043,0.8378450274467468,0.8968683481216431,0.8558052182197571,0.9063670635223389
0.0007520401522174335,0.0018812601634730956,0.6076860588410691,0.990286648273468,0.9931528568267822,0.9307116270065308,0.9133895039558411
0.00015444295060676198,0.014562563544978351,0.5888879113755956,0.9909766316413879,0.9921974539756775,0.9330524206161499,0.904026210308075
0.0009937602417497823,0.0012686712016394845,0.5312846094874789,0.990870475769043,0.9908174276351929,0.8923221230506897,0.9171348214149475
0.001510996911760814,0.2570168008989913,0.5117149632809415,0.8596072196960449,0.9222398996353149,0.9161984920501709,0.9382022619247437
0.00011363382099272983,0.056591759663213996,0.3544437509882644,0.9817940592765808,0.9868896007537842,0.9531835317611694,0.9578651785850525
0.00551525420478217,0.4380720205332621,0.6168261985157428,0.4846602976322174,0.6235668659210205,0.47940075397491455,0.5847378373146057
0.023676874891959195,0.0175675121293465,0.31122573415377425,0.3728768527507782,0.25122079253196716,0.40496253967285156,0.25
0.03531113114209618,0.0013728379575265234,0.4108218527723768,0.16656051576137543,0.25122079253196716,0.1666666716337204,0.25
0.008416868129930123,0.12233315694877635,0.4819576817404558,0.8181528449058533,0.9393842816352844,0.8192883729934692,0.9190074801445007
0.06211927534821269,0.004215799030349695,0.3123396587961696,0.1663481891155243,0.2496815323829651,0.1666666716337204,0.25
0.05073069927087518,0.1329862962488239,0.6666985336409419,0.1663481891155243,0.25122079253196716,0.1666666716337204,0.25
0.07608858179550311,0.0014433912463583333,0.4600319927964154,0.1663481891155243,0.25122079253196716,0.1666666716337204,0.25
0.00010710321335476375,0.19592757547386822,0.38010195739315134,0.9509023427963257,0.9694267511367798,0.9499063491821289,0.937265932559967
0.025025680659813188,0.04359541530382467,0.4346416032711682,0.1609872579574585,0.5292993783950806,0.1657303422689438,0.5533707737922668
0.0003247786686947839,0.17843410430923715,0.5076024314423584,0.9242569208145142,0.9683651924133301,0.9115168452262878,0.9555243253707886
0.016494175901003133,0.003398080731588142,0.6471360997055269,0.884129524230957,0.9019108414649963,0.7794944047927856,0.8099250793457031
0.0005542550479909252,0.7348073132027231,0.4597403729014951,0.4532378017902374,0.5884819626808167,0.4307115972042084,0.5987827777862549
0.06907350293551608,0.06346066078596063,0.5944104503179807,0.1670382171869278,0.24957537651062012,0.1666666716337204,0.25
0.03558163315383139,0.06308736149730237,0.3464216211641085,0.3772293031215668,0.5857218503952026,0.35299625992774963,0.6235954761505127
0.02069101501357959,0.39514901043709577,0.6898504958890517,0.36629512906074524,0.5816348195075989,0.3834269642829895,0.6114231944084167
0.0006411649828828441,0.01650247088266543,0.49381430208621635,0.9946390390396118,0.9909235835075378,0.949438214302063,0.9569288492202759
0.008169708683827206,0.5694283294032766,0.43378475073325456,0.44394904375076294,0.5266454219818115,0.4250936210155487,0.5444756746292114
0.005538274488989387,0.0019093352664623158,0.367895780571376,0.9104033708572388,0.9871019124984741,0.7921348214149475,0.9283707737922668
0.00645804199286966,0.27969171497026374,0.4561316425080407,0.6941083073616028,0.7334395051002502,0.6446629166603088,0.665730357170105
0.030599760579211363,0.0013929827219978828,0.3437757148124458,0.7671974301338196,0.668418288230896,0.6769663095474243,0.6151685118675232
0.016310506682389824,0.39328404678810336,0.3690906416634056,0.48057323694229126,0.5678343772888184,0.5706928968429565,0.5636703968048096
0.0007110429412831095,0.006432734313606708,0.48903467077996926,0.9918789863586426,0.9911358952522278,0.9026217460632324,0.9105805158615112
0.0021149030372507884,0.0546129349315832,0.4692830224529744,0.9733545780181885,0.9927813410758972,0.9485018849372864,0.992977499961853
0.0008497486745460729,0.004863681315602833,0.4362323418629678,0.9926220774650574,0.9929405450820923,0.9199438095092773,0.8618913888931274
0.07115609271813642,0.08131528780399366,0.6757218750236986,0.1670382171869278,0.24952229857444763,0.1666666716337204,0.25
0.0001305387864837294,0.9854169281734713,0.4165223451486673,0.5550955533981323,0.6180467009544373,0.5201311111450195,0.6390449404716492
0.05451997988912901,0.04414042231140755,0.5154254553719476,0.1663481891155243,0.24957537651062012,0.1666666716337204,0.25
0.00769560757630326,0.002119958219684426,0.4894911978578317,0.9900212287902832,0.9920381903648376,0.9049625396728516,0.9569288492202759
0.004463107834848337,0.008293753799150516,0.6828111445357279,0.9932590126991272,0.9967091083526611,0.8801498413085938,0.9681648015975952
0.001613911781320495,0.07774959568887604,0.5164609442328169,0.9721868634223938,0.9909235835075378,0.9503745436668396,0.9967228174209595
